district,NAME_2,year,mean
Surendranagar,Surendranagar,2020.0,0.35844709957303933
Tapi,Tapi,2020.0,0.33047596449826644
TheDangs,TheDangs,2020.0,0.4133671096661481
Vadodara,Vadodara,2020.0,0.4777261352039455
Valsad,Valsad,2020.0,0.40143192320850263
Ahmadabad,Ahmadabad,2021.0,0.33948640436852334
Amreli,Amreli,2021.0,0.35689629813440577
Anand,Anand,2021.0,0.43611676686373274
Aravalli,Aravalli,2021.0,0.4162040881616133
BanasKantha,BanasKantha,2021.0,0.38686331054208695
Bharuch,Bharuch,2021.0,0.35048892614950455
Bhavnagar,Bhavnagar,2021.0,0.3218834937417265
Botad,Botad,2021.0,0.3837186769033888
ChhotaUdaipur,ChhotaUdaipur,2021.0,0.4397151716863793
Dahod,Dahod,2021.0,0.3730742153625722
DevbhumiDwarka,DevbhumiDwarka,2021.0,0.2568085403245499
Gandhinagar,Gandhinagar,2021.0,0.42107483011332947
GirSomnath,GirSomnath,2021.0,0.42992039456046166
Jamnagar,Jamnagar,2021.0,0.304521212244688
Junagadh,Junagadh,2021.0,0.4046922452323436
Kachchh,Kachchh,2021.0,0.12119642053368097
Kheda,Kheda,2021.0,0.448594385376644
Mahesana,Mahesana,2021.0,0.4259605180195788
Mahisagar,Mahisagar,2021.0,0.39469774305393746
Morbi,Morbi,2021.0,0.33385021590103764
Narmada,Narmada,2021.0,0.3621997990981016
Navsari,Navsari,2021.0,0.47057827022382154
PanchMahals,PanchMahals,2021.0,0.4339633470797696
Patan,Patan,2021.0,0.3407957547896404
Porbandar,Porbandar,2021.0,0.3096195672166574
Rajkot,Rajkot,2021.0,0.3535372988676157
SabarKantha,SabarKantha,2021.0,0.42674907715292343
Surat,Surat,2021.0,0.4029459318079613
Surendranagar,Surendranagar,2021.0,0.3360996575144878
Tapi,Tapi,2021.0,0.35248826931625243
TheDangs,TheDangs,2021.0,0.4516800464362705
Vadodara,Vadodara,2021.0,0.46090254638399286
Valsad,Valsad,2021.0,0.43100460759780135
Ahmadabad,Ahmadabad,2022.0,0.35016578879165206
Amreli,Amreli,2022.0,0.3516130909518608
Anand,Anand,2022.0,0.45673385069574995
Aravalli,Aravalli,2022.0,0.4482053328015185
BanasKantha,BanasKantha,2022.0,0.4161028464173258
Bharuch,Bharuch,2022.0,0.3864479738836325
Bhavnagar,Bhavnagar,2022.0,0.33540283642601254
Botad,Botad,2022.0,0.396552289360233
ChhotaUdaipur,ChhotaUdaipur,2022.0,0.49613932992149323
Dahod,Dahod,2022.0,0.4180268092618767
DevbhumiDwarka,DevbhumiDwarka,2022.0,0.27903665352116314
Gandhinagar,Gandhinagar,2022.0,0.43521948608637606
